frameNumber,x,y,z,velocity,snr,noise
1,-0.8549444079399109,3.3071670532226562,0.1630782037973404,0.0,225,441
2,-0.7328094840049744,0.619107186794281,0.18542009592056274,0.09314766526222229,194,577
2,-0.3969384729862213,0.6232612729072571,-0.6392724514007568,0.09314766526222229,194,577
2,-0.7633432149887085,2.217137575149536,0.6843845844268799,0.09314766526222229,177,494
3,-0.3969384729862213,0.2832912802696228,0.029272865504026413,0.0,222,558
3,-0.7938769459724426,1.7721186876296997,0.21929599344730377,0.0,237,499
3,-1.3740177154541016,4.608033657073975,-0.8632507920265198,0.09314766526222229,194,415
3,-4.580059051513672,23.992029190063477,-0.28817933797836304,0.09314766526222229,114,439
4,-0.3053372800350189,0.37162286043167114,0.08565399050712585,0.0,153,598
4,-0.1374017745256424,0.24053409695625305,0.4024116098880768,0.0,153,598
4,-0.8396775126457214,2.226654291152954,0.5511133670806885,0.0,193,490
4,-4.580059051513672,23.893333435058594,2.192974090576172,0.0,120,427
5,-0.7328094840049744,1.2367374897003174,0.28549858927726746,0.0,233,510
5,-0.8549444079399109,3.2914376258850098,0.36109021306037903,0.0,201,437
5,-2.290029525756836,24.262128829956055,1.6680408716201782,0.0,113,433
6,-0.4885396659374237,0.8428476452827454,0.07497212290763855,0.0,246,536
6,-0.5496070981025696,0.8040626049041748,0.078098364174366,0.0,246,536
6,-0.9160118103027344,4.794037342071533,0.21266506612300873,0.0,193,417
7,-0.7480763792991638,3.3253660202026367,-0.2778526544570923,0.0,167,445
7,-0.9160118103027344,4.796903133392334,0.13319694995880127,0.0,182,420
7,-0.5190733671188354,0.8266584873199463,0.04338894039392471,-0.09314766526222229,243,532
8,-0.7633432149887085,4.777896404266357,0.6753606200218201,0.0,191,423
8,-0.5190733671188354,0.8265725374221802,0.04499632120132446,-0.09314766526222229,219,551
8,-0.641208291053772,3.2534828186035156,-0.8358111381530762,-0.09314766526222229,161,442
9,-0.38167160749435425,0.28402528166770935,0.11102895438671112,0.0,214,555
9,-0.0916011855006218,0.16031982004642487,-0.4523027539253235,0.0,214,555
9,-0.5954077243804932,1.3391350507736206,0.01568102277815342,0.0,263,509
9,-0.641208291053772,3.3502087593078613,0.24460437893867493,0.0,181,436
9,-0.7633432149887085,2.116339683532715,4.336532115936279,0.0,140,433
10,-0.5496070981025696,0.8051866888999939,0.06550103425979614,0.0,236,551
10,-0.5343402624130249,3.349421262741089,0.4367333650588989,-0.09314766526222229,184,446
10,-0.6717420220375061,5.328425884246826,-0.1892876923084259,-0.09314766526222229,186,426
11,-0.7022757530212402,0.41465216875076294,0.5381044149398804,0.0,170,551
11,-0.3053372800350189,0.915145754814148,0.15479472279548645,0.0,170,551
11,-0.42747220396995544,3.379795789718628,-0.2985411286354065,0.0,210,438
11,-0.4580059051513672,4.857307434082031,0.25277039408683777,0.0,180,427
12,-0.29007041454315186,0.39277225732803345,-0.01612856052815914,0.0,221,550
12,-0.10686805099248886,0.3495914936065674,-0.3240925967693329,0.0,221,550
12,-0.6717420220375061,4.999030590057373,1.8540894985198975,0.0,146,423
12,-0.5496070981025696,0.8078413009643555,-0.0029133211355656385,0.09314766526222229,229,544
12,-0.5343402624130249,2.3573966026306152,-0.352044939994812,0.09314766526222229,220,475
12,-0.5343402624130249,3.362067461013794,0.32536375522613525,0.09314766526222229,178,444
13,-0.320604145526886,0.3686060309410095,-0.003684398252516985,0.0,182,579
13,-0.641208291053772,3.324002504348755,-0.48449742794036865,0.0,184,439
13,-0.6106745600700378,4.8164496421813965,0.5440499186515808,0.0,203,418
13,0.0,23.442899703979492,0.5730512142181396,0.0,114,419
14,-0.5496070981025696,1.3311164379119873,0.27221328020095825,0.0,208,528
14,-0.5343402624130249,3.333771228790283,-0.543441116809845,0.0,189,437
14,-0.4580059051513672,4.84767484664917,0.3967067003250122,0.0,187,417
15,-0.5038065314292908,1.3693000078201294,0.1386919915676117,0.0,202,537
15,-0.5343402624130249,3.3194351196289062,-0.6250675320625305,0.0,175,450
15,-0.4580059051513672,4.826802730560303,0.5994177460670471,0.0,186,426
15,0.0,23.436832427978516,0.7828366756439209,0.0,124,419
16,-0.5038065314292908,1.3637555837631226,0.1854413002729416,0.0,198,540
16,-0.42747220396995544,3.321329355239868,-0.6934822797775269,0.0,157,456
16,-0.4580059051513672,4.807368278503418,0.7392817139625549,0.0,193,425
17,-0.5038065314292908,1.3739408254623413,0.08064977079629898,0.0,218,531
17,-0.641208291053772,3.068845272064209,-1.3659865856170654,0.0,155,449
17,-0.6106745600700378,4.707756042480469,1.1537798643112183,0.0,193,433
18,-0.5954077243804932,1.3333446979522705,-0.1253812611103058,0.0,239,522
18,-0.5343402624130249,3.320608615875244,-0.6188033223152161,0.0,179,437
18,-0.6106745600700378,4.842092514038086,0.21981102228164673,0.0,203,418
18,0.0,24.06285858154297,4.201950550079346,0.0,121,429
19,-0.5954077243804932,1.3352361917495728,-0.10330987721681595,0.0,247,526
19,-0.5496070981025696,4.347479820251465,-0.36014074087142944,0.0,195,427
20,-0.5496070981025696,1.3572723865509033,-0.0615014024078846,0.0,247,521
20,-0.5343402624130249,3.163896083831787,-1.1828441619873047,0.0,164,438
20,-0.3053372800350189,4.834510326385498,0.6335415840148926,0.0,201,426
20,0.7633432149887085,23.707143783569336,5.836621284484863,0.0,125,429
21,-0.5496070981025696,1.3529194593429565,-0.12481871247291565,0.0,239,530
21,-0.5343402624130249,3.155888080596924,-1.2040469646453857,0.0,162,439
21,-0.4580059051513672,4.811960697174072,0.7087752819061279,0.0,208,422
22,-0.5954077243804932,1.3391999006271362,-0.00849890522658825,0.0,254,527
22,-0.4122053384780884,4.355454444885254,-0.43869447708129883,0.0,203,430
23,-0.4580059349536896,0.8600029945373535,0.07286552339792252,0.0,240,547
23,-0.4580059349536896,2.8514018058776855,-0.5018907785415649,0.0,179,453
23,-0.4122053384780884,4.30387020111084,-0.7994616031646729,0.0,210,423
24,-0.4580059349536896,0.8614539504051208,0.053025443106889725,0.0,246,542
24,-0.4580059349536896,2.8159332275390625,-0.6729826927185059,0.0,181,449
24,-0.5496070981025696,4.270385265350342,-0.8911181688308716,0.0,211,427
25,-0.5954077243804932,1.338819146156311,-0.03304057568311691,0.0,262,523
25,-0.5496070981025696,2.8306548595428467,-0.5267635583877563,0.0,177,453
25,-0.5496070981025696,4.257623195648193,-0.9502249956130981,0.0,205,430
26,-0.5954077243804932,1.33897066116333,0.02619396336376667,0.0,255,530
26,-0.5496070981025696,4.289657115936279,-0.7931732535362244,0.0,208,425
27,-0.5496070981025696,1.357669472694397,-0.0520034097135067,0.0,252,525
27,-0.5496070981025696,4.319416522979736,-0.6106741428375244,0.0,203,432
28,-0.5496070981025696,1.3571816682815552,-0.06347160041332245,0.0,250,528
28,-0.4122053384780884,4.3323259353637695,-0.6272066235542297,0.0,210,424
29,-0.4580059349536896,0.8582000136375427,0.09169168770313263,0.0,235,544
29,-0.5496070981025696,4.294782638549805,-0.7649335265159607,0.0,202,431
30,-0.4580059349536896,0.8525369167327881,0.13451920449733734,0.0,236,552
30,-0.7633432149887085,0.5053103566169739,-0.34154438972473145,0.0,236,552
30,-0.4122053384780884,4.295297622680664,-0.8443082571029663,0.0,194,441
31,-0.42747220396995544,0.8622146844863892,0.16893011331558228,0.0,247,545
31,-0.4122053384780884,4.2883620262146,-0.8788571953773499,0.0,215,420
31,0.0,23.764598846435547,5.649898529052734,0.0,113,435
32,-0.42747220396995544,0.8563350439071655,0.19657520949840546,0.0,242,550
32,-0.4122053384780884,4.280725479125977,-0.9153282642364502,0.0,198,437
33,-0.42747220396995544,0.8669564723968506,0.14261144399642944,0.0,239,546
33,-0.7938769459724426,0.31370580196380615,-0.4754283130168915,0.0,239,546
33,-0.4122053384780884,4.260798931121826,-1.00400710105896,0.0,200,431
34,-0.42747220396995544,0.8642422556877136,0.15823042392730713,0.0,240,548
34,-0.7938769459724426,0.34980618953704834,-0.44953200221061707,0.0,240,548
34,-0.4122053384780884,4.240974426269531,-1.0846999883651733,0.0,201,429
35,-0.42747220396995544,0.8639869093894958,0.15961894392967224,0.0,245,541
35,-0.7938769459724426,0.3166998326778412,-0.47343912720680237,0.0,245,541
35,-0.4122053384780884,4.270050048828125,-0.9639031887054443,0.0,202,425
36,-0.4580059349536896,0.8506041169166565,0.14624366164207458,0.0,235,548
36,-0.4885396659374237,3.865267276763916,-0.3098089396953583,0.0,193,436
36,0.0,23.995311737060547,4.571926116943359,0.0,114,435
37,-0.42747220396995544,0.8613587021827698,0.17324185371398926,0.0,233,552
37,-0.4885396659374237,3.8758575916290283,0.11832768470048904,0.0,224,428
37,0.0,23.995311737060547,4.571926116943359,0.0,113,442
38,-0.42747220396995544,0.8665086030960083,0.1453080028295517,0.0,226,559
38,-0.4885396659374237,3.8770813941955566,0.06718089431524277,0.0,218,433
38,0.0,24.194496154785156,3.362121820449829,0.0,123,431
39,-0.42747220396995544,0.876166820526123,0.0654471293091774,0.0,240,540
39,-0.5496070981025696,4.303874969482422,-0.7119994163513184,0.0,210,419
39,0.0,23.840476989746094,5.320631504058838,0.0,116,432
40,-0.3969384729862213,0.8924611806869507,0.025237711146473885,0.0,235,543
40,-0.6106745600700378,3.854745626449585,0.2072610855102539,0.0,191,437
40,0.0,23.880107879638672,5.1398420333862305,0.0,114,432
41,-0.4580059349536896,0.8502680659294128,0.1481851041316986,0.0,231,549
41,-0.4885396659374237,3.8738605976104736,0.17168723046779633,0.0,213,434
41,0.0,24.06285858154297,4.201950550079346,0.0,117,436
42,-0.4580059349536896,0.8523772954940796,0.1355268508195877,0.0,230,554
42,-0.6106745600700378,3.857330799102783,0.15172342956066132,0.0,222,433
43,-0.4580059349536896,0.8513482809066772,0.14184735715389252,0.0,235,549
43,-0.4885396659374237,3.873978614807129,0.1690034419298172,0.0,218,433
43,0.0,24.02623748779297,4.40651798248291,0.0,115,435
44,-0.4580059349536896,0.8472503423690796,0.16456454992294312,0.0,236,543
44,-0.6106745600700378,3.8459644317626953,0.3325337767601013,0.0,201,432
45,-0.4885396659374237,0.8287051916122437,0.17105767130851746,0.0,225,535
45,-0.4122053384780884,4.107900619506836,-1.512477993965149,0.0,185,429
45,0.0,23.589252471923828,6.34229040145874,0.0,116,438
46,-0.4580059349536896,0.8564098477363586,0.1071297749876976,0.0,220,559
46,-0.6106745600700378,3.8597054481506348,0.06851134449243546,0.0,229,434
47,-0.4580059349536896,0.8333455324172974,0.22461026906967163,0.0,223,560
47,-0.6106745600700378,3.860062837600708,0.04399890452623367,0.0,231,430
48,-0.4580059349536896,0.8497111201286316,0.15134616196155548,0.0,236,544
48,-0.4885396659374237,3.873175621032715,0.1865067332983017,0.0,223,426
49,-0.4885396659374237,0.8106718063354492,0.24253712594509125,0.0,201,578
49,-0.5343402624130249,3.377171039581299,-0.0638292133808136,0.0,226,445
49,0.0,24.33909797668457,2.0702028274536133,0.0,120,438
50,-0.4580059349536896,0.7988073229789734,0.3268354535102844,0.0,184,584
50,-0.5343402624130249,3.377772331237793,0.0036295976024121046,0.0,225,451
50,0.0,24.33909797668457,2.0702028274536133,0.0,127,433
51,-0.2748035490512848,0.33104848861694336,0.23143227398395538,0.0,141,616
51,-0.12213491648435593,0.22260132431983948,-0.41737598180770874,0.0,141,616
51,-0.5343402624130249,3.3775219917297363,0.04128780961036682,0.0,232,446
51,0.0,24.322797775268555,2.253657817840576,0.0,123,436
52,-0.5190733671188354,0.7672923803329468,0.31065934896469116,0.0,169,588
52,-0.5343402624130249,3.3777644634246826,0.008198197931051254,0.0,235,444
52,0.0,24.350574493408203,1.9305410385131836,0.0,131,433
53,-0.2748035490512848,0.3205021917819977,0.24582992494106293,0.0,150,619
53,-0.12213491648435593,0.273657888174057,-0.385830819606781,0.0,150,619
53,-0.5343402624130249,3.3776774406433105,0.025571908801794052,0.0,228,449
53,-0.4580059051513672,4.859745025634766,0.20051270723342896,0.0,234,428
53,0.0,24.418426513671875,0.6464521884918213,0.0,132,430
54,-0.2748035490512848,0.31235724687576294,0.25609952211380005,0.0,152,617
54,-0.12213491648435593,0.3171231746673584,-0.3509799838066101,0.0,152,617
54,-0.5343402624130249,3.3727915287017822,0.18340203166007996,0.0,223,444
54,-0.6106745600700378,4.844324588775635,0.1633853316307068,0.0,236,423
54,0.7633432149887085,24.367273330688477,1.526686429977417,0.0,117,440
55,-0.5801408290863037,0.7736912369728088,0.1397230476140976,0.0,207,569
55,-0.5343402624130249,2.375800848007202,0.19190044701099396,0.0,215,496
55,-0.6106745600700378,4.84054708480835,0.25155121088027954,0.0,221,425
55,0.0,23.9090576171875,5.003446578979492,0.0,122,430
56,-0.5496070981025696,0.8038086891174316,0.0806700587272644,0.0,255,537
56,-0.6106745600700378,4.826982498168945,-0.4409242272377014,0.0,178,432
56,0.0,24.106664657592773,3.942868709564209,0.0,126,435
57,-0.5190733671188354,0.8094760775566101,0.17319141328334808,0.0,235,542
57,-0.7633432149887085,4.804900169372559,-0.44422680139541626,0.0,159,424
57,0.0,24.23744010925293,3.037106513977051,0.0,146,423
58,-0.5496070981025696,0.7838478088378906,0.19544468820095062,0.0,239,541
58,-0.6106745600700378,4.718795299530029,-1.1077659130096436,0.0,146,429
58,0.0,24.1381778717041,3.7451038360595703,0.0,144,433
59,-0.5496070981025696,0.7628399729728699,0.26587817072868347,0.0,227,542
